id,anim_id,me,me_target,other,other_target,other_me,npc_anim_id
27,217,당신은 하품을 합니다.,당신은 @TARGET_NAME(0)에게 하품을 합니다.,@SOURCE_NAME(0)|1이;가; 하품을 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 하품을 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 하품을 합니다.,217
28,225,당신은 답답해 합니다.,당신은 @TARGET_NAME(0)에게 답답해 합니다.,@SOURCE_NAME(0)|1이;가; 답답해 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 답답해 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 답답해 합니다.,225
29,218,당신은 묵념을 합니다.,당신은 @TARGET_NAME(0)에게 묵념을 합니다.,@SOURCE_NAME(0)|1이;가; 묵념을 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 묵념을 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 묵념을 합니다.,218
30,219,당신은 고개를 흔듭니다.,당신은 @TARGET_NAME(0)에게 고개를 흔듭니다.,@SOURCE_NAME(0)|1이;가; 고개를 흔듭니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 고개를 흔듭니다.,@SOURCE_NAME(0)|1이;가; 당신에게 고개를 흔듭니다.,325
31,224,당신은 부정합니다.,당신은 @TARGET_NAME(0)에게 부정합니다.,@SOURCE_NAME(0)|1이;가; 부정합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 부정합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 부정합니다.,325
32,229,당신은 큰소리로 외칩니다.,당신은 @TARGET_NAME(0)에게 큰소리로 외칩니다.,@SOURCE_NAME(0)|1이;가; 큰소리로 외칩니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 큰소리로 외칩니다.,@SOURCE_NAME(0)|1이;가; 당신에게 큰소리로 외칩니다.,229
33,209,당신은 긍정합니다.,당신은 @TARGET_NAME(0)에게 긍정합니다.,@SOURCE_NAME(0)|1이;가; 긍정합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 긍정합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 긍정합니다.,310
34,221,당신은 가위를 냅니다.,당신은 @TARGET_NAME(0)에게 가위를 냅니다.,@SOURCE_NAME(0)|1이;가; 가위를 냅니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 가위를 냅니다.,@SOURCE_NAME(0)|1이;가; 당신에게 가위를 냅니다.,221
35,222,당신은 바위를 냅니다.,당신은 @TARGET_NAME(0)에게 바위를 냅니다.,@SOURCE_NAME(0)|1이;가; 바위를 냅니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 바위를 냅니다.,@SOURCE_NAME(0)|1이;가; 당신에게 바위를 냅니다.,222
36,223,당신은 보자기를 냅니다.,당신은 @TARGET_NAME(0)에게 보자기를 냅니다.,@SOURCE_NAME(0)|1이;가; 보자기를 냅니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 보자기를 냅니다.,@SOURCE_NAME(0)|1이;가; 당신에게 보자기를 냅니다.,223
37,303,,,,,,303
38,304,,,,,,304
39,325,,,,,,325
40,78,,,,,,78
41,45,,,,,,45
42,122,당신은 기침을 합니다.,당신은 @TARGET_NAME(0)에게 기침을 합니다.,@SOURCE_NAME(0)|1이;가; 기침을 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 기침을 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 기침을 합니다.,122
43,123,,,,,,123
44,119,,,,,,119
45,118,,,,,,118
46,231,,,,,,231
47,232,,,,,,232
48,233,당신은 앉습니다.,당신은 앉습니다.,@SOURCE_NAME(0)|1이;가; 앉습니다.,@SOURCE_NAME(0)|1이;가; 앉습니다.,@SOURCE_NAME(0)|1이;가; 앉습니다.,233
49,234,,,,,,234
50,235,,,,,,235
51,212,,,,,,212
52,213,,,,,,213
53,214,,,,,,214
54,238,,,,,,238
55,237,,,,,,237
56,220,,,,,,220
57,226,당신은 코를 막습니다.,당신은 @TARGET_NAME(0)|1을;를; 보고 코를 막습니다.,@SOURCE_NAME(0)|1이;가; 코를 막습니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)|1을;를; 보고 코를 막습니다.,@SOURCE_NAME(0)|1이;가; 당신을 보고 코를 막습니다.,226
58,227,당신은 구역질을 합니다.,당신은 @TARGET_NAME(0)|1을;를; 보고 구역질을 합니다.,@SOURCE_NAME(0)|1이;가; 구역질을 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)|1을;를; 보고 구역질을 합니다.,@SOURCE_NAME(0)|1이;가; 당신을 보고 구역질을 합니다.,227
59,228,,,,,,228
60,239,,,,,,239
61,236,,,,,,236
62,230,당신은 꽃가루를 날립니다.,당신은 @TARGET_NAME(0)에게 꽃가루를 날립니다.,@SOURCE_NAME(0)|1이;가; 꽃가루를 날립니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 꽃가루를 날립니다.,@SOURCE_NAME(0)|1이;가; 당신에게 꽃가루를 날립니다.,230
63,328,,,,,,328
64,329,,,,,,329
65,335,,,,,,335
66,331,,,,,,331
67,304,,,,,,304
68,334,당신은 애정을 표현합니다.,당신은 @TARGET_NAME(0)에게 애정을 표현합니다.,@SOURCE_NAME(0)|1이;가; 애정을 표현합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 애정을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 애정을 표현합니다.,334
69,332,"당신은 외칩니다. ""돌격 앞으로!""","당신은 @TARGET_NAME(0)에게 외칩니다. ""돌격 앞으로!""","@SOURCE_NAME(0)|1이;가; 외칩니다. ""돌격 앞으로!""","@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 외칩니다. ""돌격 앞으로!""","@SOURCE_NAME(0)|1이;가; 당신에게 외칩니다. ""돌격 앞으로!""",332
70,333,당신은 건들거립니다.,당신은 @TARGET_NAME(0)|1을;를; 보고 건들거립니다.,@SOURCE_NAME(0)|1이;가; 건들거립니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)|1을;를; 보고 건들거립니다.,@SOURCE_NAME(0)|1이;가; 당신을 보고 건들거립니다.,318
71,303,,,,,,310
72,303,,,,,,311
73,303,,,,,,312
74,314,,,,,,314
75,315,,,,,,315
76,316,,,,,,316
77,317,,,,,,317
78,319,,,,,,319
79,320,,,,,,320
80,321,,,,,,321
81,322,,,,,,322
82,318,,,,,,318
83,324,,,,,,324
84,326,,,,,,326
85,323,,,,,,323
86,303,,,,,,308
87,307,,,,,,307
88,306,,,,,,306
89,305,,,,,,305
90,313,,,,,,313
91,344,당신은 구걸합니다.,당신은 @TARGET_NAME(0)에게 구걸합니다.,@SOURCE_NAME(0)|1이;가; 구걸합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 구걸합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 구걸합니다.,344
92,393,,,,,,393
93,435,,,,,,435
94,72,당신은 사과합니다.,당신은 @TARGET_NAME(0)에게 사과합니다.,@SOURCE_NAME(0)|1이;가; 사과합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 사과합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 사과합니다.,72
95,230,당신은 기념 주화를 델피나드의 별로 교환하길 원합니다.,,,,,230
96,308,키프로사의 빛 기념 주화를 델피나드의 별로 교환하고 싶습니다.,키프로사의 빛 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,308
97,309,에안나의 눈물 기념 주화를 델피나드의 별로 교환하고 싶습니다.,에안나의 눈물 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,309
98,310,타양의 포효 기념 주화를 델피나드의 별로 교환하고 싶습니다.,타양의 포효 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,310
99,311,진의 위엄 기념 주화를 델피나드의 별로 교환하고 싶습니다.,진의 위엄 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,311
100,304,루키우스의 찬가 기념 주화를 델피나드의 별로 교환하고 싶습니다.,루키우스의 찬가 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,304
101,305,아란제브의 명상 기념 주화를 델피나드의 별로 교환하고 싶습니다.,아란제브의 명상 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,305
102,306,아란제비아의 미소 기념 주화를 델피나드의 별로 교환하고 싶습니다.,아란제비아의 미소 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,306
103,312,오키드나의 꿈 기념 주화를 델피나드의 별로 교환하고 싶습니다.,오키드나의 꿈 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,312
104,557,나이마의 춤 기념 주화를 델피나드의 별로 교환하고 싶습니다.,나이마의 춤 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,557
105,555,멜리사라의 그림자 기념 주화를 델피나드의 별로 교환하고 싶습니다.,멜리사라의 그림자 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,555
106,556,올로의 풍요 기념 주화를 델피나드의 별로 교환하고 싶습니다.,올로의 풍요 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,556
107,554,이녹의 신념 기념 주화를 델피나드의 별로 교환하고 싶습니다.,이녹의 신념 기념 주화를 델피나드의 별로 교환하고 싶습니다.,,,,554
108,303,불쌍한 하푸만에게 별 주먹밥을 5개 건네주고자 합니다.,불쌍한 하푸만에게 별 주먹밥을 5개 건네주고자 합니다.,,,,303
